dataHora,ordem,linha,latitude,longitude,velocidade
09-24-2016 22:15:36,D87717,2336,"-22.91683","-43.60738",0
09-24-2016 22:15:37,B27019,SVB905,"-22.849501","-43.32349",0
09-24-2016 22:15:37,D87100,,"-22.91811","-43.607609",0
09-24-2016 22:15:38,A50036,,"-22.980297","-43.293945",21.48
09-24-2016 22:15:38,B55078,,"-22.906231","-43.260632",0
09-24-2016 22:15:39,B32733,,"-22.817301","-43.393848",0
09-24-2016 22:15:39,D86010,918,"-22.893341","-43.531944",0
09-24-2016 22:15:40,B28704,,"-22.814939","-43.188759",0
09-24-2016 22:15:41,D86044,918,"-22.860991","-43.392159",40.19
09-24-2016 22:15:42,B25606,606,"-22.902679","-43.297951",0
09-24-2016 22:15:42,B75508,,"-22.83127","-43.323299",0
09-24-2016 22:15:43,A72087,410,"-22.889227","-43.292007",0
09-24-2016 22:15:43,C20079,380,"-22.923748","-43.369267",6.11
09-24-2016 22:15:45,B32654,296,"-22.814171","-43.382542",0
09-24-2016 22:15:46,D86382,884,"-22.894251","-43.531914",1.11
09-24-2016 22:15:48,C47718,,"-22.952017","-43.349991",0
09-24-2016 22:15:51,B25539,SV249,"-22.90262","-43.29792",0
09-24-2016 22:15:52,D17042,,"-22.918619","-43.60817",0
09-24-2016 22:15:54,B27154,950,"-22.816839","-43.302181",0
09-24-2016 22:15:56,C27028,774,"-22.8482","-43.325199",27
09-24-2016 22:15:57,B32770,727,"-22.81638","-43.394272",0
09-24-2016 22:15:57,D87322,822,"-22.91744","-43.60709",0
09-24-2016 22:16:00,B44666,,"-22.8606","-43.35611",0
09-24-2016 22:16:01,A72185,006,"-22.889235","-43.292755",0
09-24-2016 22:16:01,B32701,342,"-22.806231","-43.363911",0
09-24-2016 22:16:05,B25574,232,"-22.90217","-43.2985",0
09-24-2016 22:16:07,D86379,884,"-22.894495","-43.531857",0.74
09-24-2016 22:16:08,B32717,,"-22.81587","-43.394852",0
09-24-2016 22:16:08,C47488,,"-22.953012","-43.350464",0
09-24-2016 22:16:08,D87316,830,"-22.918871","-43.608429",0
09-24-2016 22:16:09,B25508,,"-22.90251","-43.29842",0
09-24-2016 22:16:09,B75633,355,"-22.89954","-43.187618",0
09-24-2016 22:16:11,D86257,835,"-22.955757","-43.576553",0
09-24-2016 22:16:13,B11719,778,"-22.811443","-43.372181",0
09-24-2016 22:16:16,B27013,629,"-22.81744","-43.301472",0
09-24-2016 22:16:17,B32751,298,"-22.81414","-43.382549",0
09-24-2016 22:16:19,B32831,385,"-22.81662","-43.394341",0
09-24-2016 22:16:20,B32694,,"-22.816389","-43.394241",0
09-24-2016 22:16:21,B71148,455,"-22.902794","-43.313889",0
09-24-2016 22:16:22,B19538,665,"-22.81069","-43.343151",1
09-24-2016 22:16:22,D17002,868,"-22.91543","-43.629978",26
09-24-2016 22:16:22,D86740,2804,"-22.894226","-43.532578",0
